"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"1,305","1,304","1,292","1,285","1,291","1,288"
Aragón,"0,639","0,640","0,636","0,639","0,631","0,632"
"Asturias, Principado de","0,242","0,263","0,255","0,265","0,277","0,279"
"Balears, Illes","0,195","0,228","0,294","0,348","0,346","0,362"
Canarias,"0,369","0,385","0,450","0,432","0,427","0,426"
Castilla y León,"0,908","1,005","1,039","1,055","1,044","1,069"
Catalunya,"0,683","0,704","0,719","0,727","0,742","0,770"
Comunitat Valenciana,"0,453","0,470","0,475","0,476","0,489","0,497"
Extremadura,"0,639","0,653","0,646","0,667","0,669","0,662"
Galicia,"0,635","0,659","0,689","0,692","0,678","0,702"
"Madrid, Comunidad de","0,853","0,871","0,964","1,013","1,015","1,031"
Melilla,,,,"0,116","0,116","0,118"
"Murcia, Región de","0,522","0,521","0,510","0,510","0,527","0,523"
"Navarra, Comunidad Foral de","0,934","0,975","0,965","0,955","0,967","0,963"
País Vasco,"0,092","0,229","0,373","0,411","0,429","0,449"
"Rioja, La","0,223","0,286","0,316","0,314","0,313","0,313"
