"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,692","0,694","0,694","0,688","0,684","0,683"
Aragón,"0,213","0,228","0,235","0,240","0,218","0,218"
"Asturias, Principado de","0,213","0,204","0,206","0,206","0,207","0,209"
"Balears, Illes","0,097","0,096","0,095","0,161","0,194","0,211"
Canarias,"0,255","0,249","0,246","0,248","0,248","0,247"
Castilla y León,"0,374","0,389","0,424","0,446","0,461","0,505"
Catalunya,"0,132","0,138","0,150","0,154","0,156","0,156"
Comunitat Valenciana,"0,356","0,375","0,385","0,384","0,389","0,390"
Extremadura,"0,167","0,205","0,197","0,216","0,226","0,227"
Galicia,"0,236","0,237","0,263","0,281","0,289","0,290"
"Madrid, Comunidad de","0,559","0,579","0,675","0,683","0,694","0,707"
Melilla,,,,,,
"Murcia, Región de","0,312","0,372","0,376","0,358","0,389","0,379"
"Navarra, Comunidad Foral de","0,498","0,557","0,536","0,515","0,498","0,497"
País Vasco,"0,069","0,165","0,196","0,208","0,208","0,199"
"Rioja, La","0,064","0,064","0,063","0,063","0,063","0,063"
