"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,102,109,211,13,8,21
Aragón,2,1,3,0,1,1
"Asturias, Principado de",3,1,4,1,1,2
"Balears, Illes",11,5,16,1,1,2
Canarias,3,3,6,0,0,0
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,7,12,19,1,1,2
Catalunya,50,60,110,3,4,7
Ceuta*,,,,,,
Comunitat Valenciana,30,21,51,12,7,19
Extremadura,3,1,4,2,0,2
Galicia,13,22,35,1,0,1
"Madrid, Comunidad de",33,43,76,4,4,8
Melilla,,,,,,
"Murcia, Región de",10,15,25,2,2,4
"Navarra, Comunidad Foral de",4,1,5,1,2,3
País Vasco,10,12,22,1,0,1
"Rioja, La",0,0,0,0,0,0
TOTAL,281,306,587,42,31,73
