"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,280","0,270","0,267","0,256","0,245","0,239"
Aragón,,,,,"0,008","0,038"
"Asturias, Principado de","0,010","0,019","0,020","0,020","0,010","0,010"
"Balears, Illes","0,071","0,070","0,095","0,085","0,076","0,067"
Canarias,"0,071","0,070","0,060","0,055","0,050","0,050"
Castilla y León,"0,193","0,207","0,212","0,213","0,197","0,189"
Catalunya,"0,074","0,092","0,130","0,131","0,123","0,122"
Comunitat Valenciana,"0,103","0,105","0,106","0,109","0,107","0,104"
Extremadura,"0,213","0,205","0,206","0,207","0,179","0,170"
Galicia,"0,089","0,085","0,093","0,089","0,089","0,089"
"Madrid, Comunidad de","0,181","0,182","0,209","0,214","0,211","0,212"
Melilla,,,,,,
"Murcia, Región de","0,163","0,169","0,161","0,152","0,158","0,157"
"Navarra, Comunidad Foral de","0,296","0,294","0,291","0,273","0,242","0,241"
País Vasco,"0,018","0,032","0,050","0,063","0,068","0,091"
"Rioja, La",,"0,032","0,032","0,063","0,094","0,094"
