"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,88,90,178,8,5,13
Aragón,1,3,4,0,0,0
"Asturias, Principado de",,,,,,
"Balears, Illes",39,34,73,0,2,3(+)
Canarias,39,30,69,0,0,0
Cantabria*,,,,,,
Castilla-La Mancha*,1,,1,,,
Castilla y León,85,66,151,4,3,7
Catalunya,41,21,62,2,0,2
Ceuta*,,,,,,
Comunitat Valenciana,149,112,261,22,15,37
Extremadura,10,10,20,3,1,4
Galicia,62,56,118,6,4,10
"Madrid, Comunidad de",359,307,666,23,18,41
Melilla,,,,,,
"Murcia, Región de",74,63,137,8,9,17
"Navarra, Comunidad Foral de",32,21,53,5,0,5
País Vasco,17,21,38,3,0,3
"Rioja, La",4,2,6,1,0,1
TOTAL,1.001,836,1.837,85,57,143(+)
