"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,474,345,819,10,5,15
Aragón,11,3,14,0,2,2
"Asturias, Principado de",29,23,52,4,1,5
"Balears, Illes",30,17,47,3,0,3
Canarias,37,20,57,2,0,2
Cantabria*,,,,,,
Castilla-La Mancha*,2,2,4,,,
Castilla y León,39,27,66,4,1,5
Catalunya,106,51,157,24,5,29
Ceuta*,,,,,,
Comunitat Valenciana,182,107,289,13,7,20
Extremadura,26,27,53,6,3,9
Galicia,50,21,71,5,3,8
"Madrid, Comunidad de",302,216,518,8,11,19
Melilla,,,,,,
"Murcia, Región de",43,25,68,0,0,0
"Navarra, Comunidad Foral de",21,17,38,0,1,1
País Vasco,2,0,2,0,0,0
"Rioja, La",2,2,4,3,0,3
TOTAL,1.356,903,2.259,82,39,121
