"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"1,033","1,033","1,035","1,026","1,024","1,013"
Aragón,"0,129","0,122","0,114","0,113","0,113","0,361"
"Asturias, Principado de","0,348","0,360","0,372","0,383","0,415","0,418"
"Balears, Illes","0,230","0,254","0,276","0,289","0,321","0,320"
Canarias,"0,265","0,272","0,269","0,280","0,275","0,279"
Castilla y León,"0,394","0,434","0,445","0,454","0,474","0,505"
Catalunya,"0,250","0,257","0,271","0,291","0,297","0,317"
Comunitat Valenciana,"0,251","0,256","0,275","0,277","0,284","0,290"
Extremadura,"0,343","0,354","0,356","0,357","0,358","0,360"
Galicia,"0,325","0,337","0,330","0,329","0,345","0,349"
"Madrid, Comunidad de","0,497","0,510","0,533","0,543","0,572","0,583"
Melilla,,,,,,
"Murcia, Región de","0,400","0,385","0,396","0,391","0,415","0,445"
"Navarra, Comunidad Foral de","0,670","0,665","0,705","0,697","0,695","0,692"
País Vasco,"0,124","0,178","0,273","0,316","0,325","0,335"
"Rioja, La","0,096","0,095","0,127","0,157","0,157","0,156"
