"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,695","0,668","0,629","0,586","0,553","0,509"
Aragón,"0,175","0,145","0,144","0,135","0,105","0,098"
"Asturias, Principado de","0,329","0,312","0,274","0,285","0,306","0,338"
"Balears, Illes","0,292","0,377","0,492","0,501","0,507","0,497"
Canarias,"0,208","0,202","0,181","0,175","0,170","0,151"
Castilla y León,"0,653","0,683","0,665","0,671","0,667","0,674"
Catalunya,"0,237","0,271","0,313","0,343","0,370","0,365"
Comunitat Valenciana,"0,534","0,542","0,533","0,521","0,501","0,444"
Extremadura,"0,593","0,578","0,524","0,451","0,405","0,369"
Galicia,"0,543","0,551","0,522","0,533","0,537","0,509"
"Madrid, Comunidad de","0,432","0,429","0,459","0,466","0,443","0,437"
Melilla,"0,116","0,116","0,116","0,116","0,116","0,118"
"Murcia, Región de","0,352","0,352","0,389","0,384","0,362","0,327"
"Navarra, Comunidad Foral de","0,436","0,433","0,368","0,364","0,302","0,301"
País Vasco,"0,078","0,128","0,159","0,185","0,194","0,204"
"Rioja, La","0,159","0,222","0,285","0,282","0,250","0,219"
