"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,79,73,152,6,6,12
Aragón,,,,,,
"Asturias, Principado de",,,,,,
"Balears, Illes",,,,,,
Canarias,8,15,23,0,1,1
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,13,10,23,1,0,1
Catalunya,34,22,56,1,1,2
Ceuta*,,,,,,
Comunitat Valenciana,16,27,43,4,4,8
Extremadura,3,6,9,0,0,0
Galicia,4,6,10,1,1,2
"Madrid, Comunidad de",22,20,42,2,1,3
Melilla,,,,,,
"Murcia, Región de",7,12,19,2,0,2
"Navarra, Comunidad Foral de",,,,,,
País Vasco,3,3,6,0,0,0
"Rioja, La",0,0,0,0,0,0
TOTAL,189,194,383,17,14,31
