"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,228","0,213","0,201","0,189","0,179","0,170"
Aragón,,,"0,008","0,008","0,008","0,008"
"Asturias, Principado de","0,039","0,039","0,039","0,049","0,049","0,060"
"Balears, Illes",,,"0,017","0,017","0,025","0,025"
Canarias,"0,005","0,014","0,028","0,037","0,041","0,037"
Castilla y León,"0,062","0,058","0,062","0,071","0,071","0,063"
Catalunya,"0,057","0,057","0,063","0,065","0,066","0,067"
Comunitat Valenciana,"0,047","0,046","0,054","0,059","0,057","0,057"
Extremadura,"0,185","0,168","0,150","0,122","0,113","0,142"
Galicia,"0,022","0,022","0,026","0,026","0,030","0,030"
"Madrid, Comunidad de","0,274","0,233","0,225","0,202","0,183","0,191"
Melilla,,,,,,
"Murcia, Región de","0,075","0,074","0,074","0,086","0,092","0,098"
"Navarra, Comunidad Foral de","0,031","0,031","0,031","0,030","0,030","0,030"
País Vasco,"0,000","0,000","0,000","0,000","0,000","0,000"
"Rioja, La","0,350","0,318","0,285","0,282","0,282","0,313"
