Enfermedad Rara,Grupo de edad,,,,,,,,,,,,,,,,,,,latoT
,1<,4-1,9-5,41-01,91-51,42-02,92-52,43-03,93-53,44-04,94-54,45-05,95-55,46-06,96-56,47-07,97-57,48-08,"sám
y
58",
Artrogriposis múltiple congénita,10,5,2,0,1,0,0,1,1,1,2,0,1,1,1,1,2,0,2,31
Artrogriposis múltiple congénita distal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ataxia de Friedreich,0,0,1,0,4,1,5,10,15,19,28,29,25,29,29,17,12,14,7,245
Atrofia muscular espinal proximal,76,31,7,5,5,5,6,3,3,4,0,4,5,5,1,9,7,3,7,186
Cirrosis biliar primaria,0,0,0,0,0,0,0,0,1,4,7,24,47,66,99,145,190,284,457,1.324
Complejo esclerosis tuberosa,0,1,1,1,1,2,7,15,10,16,15,15,15,11,12,17,12,9,8,168
Displasia renal,17,8,9,2,1,2,2,3,3,0,2,7,10,6,6,13,10,9,11,121
Distrofia miotónica de Steinert,2,4,1,6,7,3,6,15,23,72,120,185,243,248,217,135,53,34,22,1.396
Enfermedad de Fabry,0,0,0,0,0,0,0,1,0,2,1,9,8,7,7,13,8,11,6,73
Enfermedad de Gaucher,2,2,0,0,0,0,0,0,0,2,1,4,1,4,2,7,5,2,10,42
Enfermedad de Huntington,0,0,0,1,1,4,4,15,39,62,100,93,147,141,152,159,121,124,107,1.270
Enfermedad de Niemann-Pick,1,10,5,0,1,1,2,0,2,2,0,2,1,2,4,0,1,0,1,35
Enfermedad de Rendu-Osler,0,1,2,0,0,2,1,1,2,2,5,12,15,26,40,66,77,96,82,430
Enfermedad de Wilson,0,1,0,1,3,2,2,5,2,12,10,8,11,7,5,9,7,3,3,91
Esclerosis lateral amiotrófica,1,0,0,0,1,4,6,17,59,134,253,477,657,896,1.219,1.360,1.310,970,502,7.866
Fenilcetonuria,2,0,1,1,0,0,0,0,1,0,2,3,2,1,1,0,0,0,7,21
Fibrosis quística,7,5,8,6,27,59,56,43,38,20,13,11,13,12,8,9,17,14,11,377
Hemofilia A,3,3,3,3,2,4,4,6,8,15,15,20,28,32,26,27,41,35,60,335
Hipotiroidismo congénito,13,5,2,0,0,1,0,1,0,1,4,2,3,5,2,4,2,7,12,64
Osteogénesis imperfecta,3,0,0,2,1,3,1,2,2,5,8,5,10,7,13,12,11,13,8,106
"Retinosis pigmentaria y Retinosis
pigmentaria sindrómicas",0,0,1,0,1,1,1,2,4,4,12,24,27,34,51,66,98,124,231,681
Síndrome de Angelman,0,1,0,0,3,5,3,1,1,0,1,1,1,0,0,0,0,0,0,17
Síndrome de Beckwith-Wiedemann,2,1,1,5,2,1,1,2,2,1,1,4,1,1,0,2,2,2,1,32
Síndrome de Goodpasture,0,0,0,0,0,1,0,1,4,2,7,11,12,14,22,39,51,52,67,283
Síndrome de Marfan,6,3,0,2,0,2,6,9,19,12,19,23,24,12,11,14,7,8,5,182
Síndrome de Prader-Willi,2,2,4,2,6,4,5,8,10,13,3,0,2,1,1,1,0,0,0,64
Síndrome de Williams,3,2,1,1,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,13
Síndrome de X frágil,0,0,0,0,0,1,1,2,3,1,0,2,4,5,8,5,4,1,3,40
Tetralogía de Fallot,18,13,2,3,3,6,6,5,4,15,14,13,16,7,7,4,4,0,3,143
Total (-),168,98,51,41,70,114,125,169,257,421,645,988,1.329,1.580,1.945,2.134,2.053,1.815,1.633,15.636
