"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS2,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,350,286,636,820,683,1.504(+)
Aragón,20,17,37,148,122,270
"Asturias, Principado de",62,26,88,211,166,377
"Balears, Illes",54,25,79,136,82,218
Canarias,29,13,42,184,142,326
Cantabria*,,,,1,,1
Castilla-La Mancha*,3,2,5,28,14,42
Castilla y León,117,72,189,375,312,687
Catalunya,229,209,438,235,261,496
Ceuta*,,,,,,
Comunitat Valenciana,111,76,187,637,588,1.225
Extremadura,27,25,52,101,69,170
Galicia,80,36,116,145,111,256
"Madrid, Comunidad de",251,190,441,803,747,1.550
Melilla,0,1,1,3,2,5
"Murcia, Región de",50,32,82,156,136,292
"Navarra, Comunidad Foral de",25,15,40,106,79,185
País Vasco,32,20,52,101,56,157
"Rioja, La",12,9,21,65,50,115
TOTAL,1.452,1.054,2.506,4.255,3.620,7.876(+)
