"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"2,453","2,437","2,419","2,376","2,354","2,311"
Aragón,,,,,"0,008","0,008"
"Asturias, Principado de",,,,,,
"Balears, Illes","1,010","1,122","1,123","1,105","1,065","1,061"
Canarias,"0,180","0,192","0,218","0,244","0,229","0,220"
Castilla y León,"2,244","2,354","2,482","2,605","2,658","2,825"
Catalunya,"0,160","0,184","0,205","0,221","0,230","0,278"
Comunitat Valenciana,"0,350","0,365","0,393","0,396","0,408","0,390"
Extremadura,"0,769","0,783","0,740","0,685","0,659","0,662"
Galicia,,,,,,
"Madrid, Comunidad de","1,336","1,349","1,425","1,497","1,534","1,527"
Melilla,,,,,,
"Murcia, Región de","1,884","1,981","2,059","2,160","2,246","2,275"
"Navarra, Comunidad Foral de","0,779","0,789","0,797","0,818","0,831","0,813"
País Vasco,"1,142","1,234","1,393","1,474","1,500","1,560"
"Rioja, La","0,127","0,127","0,127","0,126","0,188","0,282"
