"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,356","0,374","0,382","0,386","0,391","0,394"
Aragón,"0,175","0,175","0,174","0,180","0,218","0,324"
"Asturias, Principado de","0,203","0,204","0,206","0,236","0,237","0,229"
"Balears, Illes","0,222","0,280","0,363","0,365","0,389","0,404"
Canarias,"0,137","0,136","0,144","0,161","0,170","0,178"
Castilla y León,"0,205","0,228","0,258","0,279","0,298","0,328"
Catalunya,"0,340","0,363","0,372","0,378","0,388","0,402"
Comunitat Valenciana,"0,180","0,186","0,186","0,192","0,193","0,196"
Extremadura,"0,213","0,224","0,215","0,244","0,283","0,284"
Galicia,"0,543","0,566","0,578","0,577","0,578","0,583"
"Madrid, Comunidad de","0,413","0,423","0,443","0,443","0,455","0,458"
Melilla,,,,,,
"Murcia, Región de","0,366","0,372","0,369","0,398","0,402","0,431"
"Navarra, Comunidad Foral de","0,218","0,248","0,260","0,273","0,272","0,271"
País Vasco,"0,050","0,069","0,123","0,131","0,131","0,131"
"Rioja, La","0,032","0,032","0,032","0,031","0,031","0,031"
