"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,152","0,156","0,157","0,157","0,153","0,157"
Aragón,"0,000","0,000","0,000","0,000","0,000","0,000"
"Asturias, Principado de","0,000","0,000","0,000","0,000","0,000","0,000"
"Balears, Illes","0,665","0,815","0,941","1,071","1,115","1,196"
Canarias,"0,217","0,249","0,293","0,331","0,330","0,371"
Castilla y León,"2,429","2,611","2,723","2,855","3,002","3,157"
Catalunya,"0,013","0,015","0,022","0,026","0,028","0,030"
Comunitat Valenciana,"0,932","0,996","1,082","1,058","1,022","1,012"
Extremadura,"1,390","1,361","1,377","1,371","1,319","1,344"
Galicia,"0,377","0,407","0,437","0,481","0,519","0,564"
"Madrid, Comunidad de","2,192","2,225","2,322","2,375","2,361","2,383"
Melilla,,,,,,
"Murcia, Región de","1,369","1,380","1,348","1,339","1,317","1,229"
"Navarra, Comunidad Foral de","0,234","0,248","0,276","0,258","0,272","0,271"
País Vasco,"0,124","0,700","0,801","0,836","0,818","0,807"
"Rioja, La","0,414","0,445","0,570","0,565","0,563","0,594"
