"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,13,7,20,4,2,6
Aragón,0,0,0,0,0,0
"Asturias, Principado de",,,,,,
"Balears, Illes",0,0,0,0,0,0
Canarias,1,0,1,1,1,2
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,4,1,5,0,0,0
Catalunya,12,4,16,2,3,5
Ceuta*,,,,,,
Comunitat Valenciana,2,3,5,2,4,6
Extremadura,0,0,0,1,0,1
Galicia,3,4,7,4,1,5
"Madrid, Comunidad de",9,4,13,4,4,8
Melilla,,,,,,
"Murcia, Región de",5,3,8,1,1,2
"Navarra, Comunidad Foral de",2,0,2,0,0,0
País Vasco,3,2,5,0,0,0
"Rioja, La",3,1,4,0,0,0
TOTAL,57,29,86,19,16,35
