"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,175","0,179","0,181","0,178","0,179","0,179"
Aragón,,,,,,
"Asturias, Principado de",,,,,,
"Balears, Illes",,,,,,
Canarias,"0,038","0,042","0,065","0,074","0,087","0,105"
Castilla y León,"0,074","0,083","0,087","0,092","0,092","0,097"
Catalunya,"0,044","0,053","0,063","0,069","0,070","0,072"
Comunitat Valenciana,"0,059","0,069","0,070","0,079","0,085","0,084"
Extremadura,"0,065","0,075","0,075","0,075","0,085","0,085"
Galicia,"0,037","0,041","0,041","0,037","0,037","0,037"
"Madrid, Comunidad de","0,026","0,025","0,042","0,049","0,054","0,062"
Melilla,,,,,,
"Murcia, Región de","0,136","0,122","0,121","0,119","0,119","0,124"
"Navarra, Comunidad Foral de",,,,,,
País Vasco,"0,009","0,009","0,014","0,018","0,023","0,027"
"Rioja, La","0,000","0,000","0,000","0,000","0,000","0,000"
