"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,419,443,862,16,18,34
Aragón,17,31,48,4,2,6
"Asturias, Principado de",13,29,42,3,2,5
"Balears, Illes",19,19,38,3,3,6
Canarias,29,32,61,2,7,9
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,64,56,120,4,6,10
Catalunya,111,135,246,12,8,20
Ceuta*,,,,,,
Comunitat Valenciana,65,83,148,12,10,22
Extremadura,15,23,38,2,4,6
Galicia,36,58,94,3,8,11
"Madrid, Comunidad de",200,193,393,12,12,24
Melilla,,,,,,
"Murcia, Región de",36,32,68,4,4,8
"Navarra, Comunidad Foral de",26,20,46,2,2,4
País Vasco,39,35,74,1,1,2
"Rioja, La",4,1,5,1,0,1
TOTAL,1.093,1.190,2.283,81,87,168
