"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,068","0,091","0,114","0,134","0,147","0,150"
Aragón,,,,,,
"Asturias, Principado de",,,,,,
"Balears, Illes","0,922","1,043","1,080","1,207","1,242","1,314"
Canarias,"0,142","0,164","0,190","0,239","0,307","0,352"
Castilla y León,"0,690","0,757","0,831","0,892","0,968","1,065"
Catalunya,"0,298","0,338","0,378","0,404","0,430","0,483"
Comunitat Valenciana,"0,973","1,033","1,116","1,126","1,119","1,151"
Extremadura,"0,232","0,233","0,234","0,263","0,273","0,293"
Galicia,"0,336","0,359","0,404","0,444","0,474","0,505"
"Madrid, Comunidad de","0,194","0,188","0,257","0,296","0,349","0,377"
Melilla,,,,,,
"Murcia, Región de","0,820","0,866","0,885","0,948","1,021","1,085"
"Navarra, Comunidad Foral de","0,218","0,217","0,214","0,212","0,211","0,211"
País Vasco,"0,073","0,082","0,369","0,380","0,389","0,403"
"Rioja, La","0,255","0,254","0,253","0,251","0,250","0,250"
