"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,332","0,329","0,328","0,317","0,311","0,314"
Aragón,"0,099","0,107","0,129","0,128","0,128","0,120"
"Asturias, Principado de","0,058","0,058","0,059","0,059","0,059","0,060"
"Balears, Illes","0,089","0,140","0,164","0,187","0,186","0,194"
Canarias,"0,128","0,131","0,125","0,133","0,138","0,142"
Castilla y León,"0,127","0,128","0,133","0,142","0,147","0,152"
Catalunya,"0,143","0,149","0,148","0,163","0,170","0,177"
Comunitat Valenciana,"0,188","0,190","0,192","0,198","0,213","0,215"
Extremadura,"0,056","0,084","0,094","0,103","0,113","0,095"
Galicia,"0,177","0,178","0,174","0,178","0,178","0,182"
"Madrid, Comunidad de","0,291","0,299","0,335","0,350","0,360","0,372"
Melilla,,,,,,
"Murcia, Región de","0,441","0,440","0,436","0,431","0,422","0,418"
"Navarra, Comunidad Foral de","0,436","0,433","0,444","0,424","0,423","0,421"
País Vasco,"0,032","0,087","0,118","0,131","0,149","0,154"
"Rioja, La","0,096","0,095","0,095","0,094","0,094","0,094"
