"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,365","0,364","0,359","0,343","0,339","0,329"
Aragón,,,,"0,068","0,068","0,068"
"Asturias, Principado de","0,135","0,136","0,117","0,138","0,148","0,149"
"Balears, Illes","0,239","0,263","0,294","0,306","0,321","0,329"
Canarias,"0,321","0,357","0,372","0,414","0,422","0,453"
Castilla y León,"0,505","0,509","0,511","0,509","0,491","0,501"
Catalunya,"0,319","0,362","0,390","0,421","0,448","0,465"
Comunitat Valenciana,"0,279","0,286","0,307","0,309","0,316","0,307"
Extremadura,"0,306","0,298","0,290","0,319","0,339","0,341"
Galicia,"0,317","0,311","0,304","0,307","0,304","0,305"
"Madrid, Comunidad de","0,303","0,317","0,405","0,432","0,418","0,423"
Melilla,,,,,,
"Murcia, Región de","0,319","0,331","0,329","0,331","0,349","0,392"
"Navarra, Comunidad Foral de","0,421","0,418","0,414","0,394","0,393","0,391"
País Vasco,"0,229","0,425","0,510","0,570","0,569","0,558"
"Rioja, La","0,382","0,476","0,380","0,408","0,407","0,407"
