"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,97,59,156,19,19,38
Aragón,6,7,13,2,2,4
"Asturias, Principado de",3,2,5,5,2,7
"Balears, Illes",7,9,16,2,4,6
Canarias,18,14,32,7,4,11
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,17,18,35,5,2,7
Catalunya,68,60,128,10,7,17
Ceuta*,,,,,,
Comunitat Valenciana,29,42,71,17,19,36
Extremadura,3,5,8,1,0,1
Galicia,14,11,25,4,3,7
"Madrid, Comunidad de",45,41,86,23,13,36
Melilla,,,,,,
"Murcia, Región de",21,14,35,7,4,11
"Navarra, Comunidad Foral de",3,7,10,0,2,2
País Vasco,6,5,11,0,2,2
"Rioja, La",2,0,2,1,0,1
TOTAL,339,294,633,103,83,186
