"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,380","0,386","0,396","0,396","0,398","0,409"
Aragón,,,,,,"0,098"
"Asturias, Principado de","0,068","0,068","0,078","0,079","0,079","0,070"
"Balears, Illes","0,080","0,140","0,155","0,153","0,152","0,152"
Canarias,"0,099","0,113","0,111","0,115","0,115","0,119"
Castilla y León,"0,107","0,116","0,116","0,121","0,126","0,114"
Catalunya,"0,167","0,170","0,174","0,172","0,175","0,177"
Comunitat Valenciana,"0,071","0,077","0,080","0,083","0,083","0,084"
Extremadura,"0,083","0,084","0,084","0,075","0,075","0,085"
Galicia,"0,055","0,059","0,059","0,063","0,063","0,067"
"Madrid, Comunidad de","0,156","0,176","0,205","0,202","0,201","0,208"
Melilla,,,,,,
"Murcia, Región de","0,163","0,156","0,161","0,152","0,151","0,150"
"Navarra, Comunidad Foral de","0,234","0,232","0,230","0,227","0,227","0,226"
País Vasco,"0,037","0,046","0,064","0,063","0,063","0,068"
"Rioja, La","0,064","0,127","0,158","0,157","0,157","0,188"
