"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,951","0,962","0,977","0,996","1,002","1,022"
Aragón,"1,041","1,043","1,030","1,022","1,021","1,009"
"Asturias, Principado de","0,339","0,341","0,343","0,344","0,356","0,358"
"Balears, Illes","0,487","0,526","0,648","0,680","0,735","0,741"
Canaria,"0,520","0,558","0,571","0,556","0,569","0,586"
Castilla y León,"0,731","0,782","0,836","0,863","0,906","0,947"
Catalunya,"0,540","0,562","0,561","0,569","0,588","0,602"
Comunitat Valenciana,"1,042","1,063","1,064","1,078","1,093","1,083"
Extremadura,"0,371","0,401","0,440","0,451","0,452","0,483"
Galicia,"0,602","0,625","0,637","0,640","0,660","0,665"
"Madrid, Comunidad de","0,619","0,625","0,808","0,820","0,834","0,859"
Melilla,,,,,"0,231","0,235"
"Murcia, Región d","0,854","0,893","0,919","0,934","0,942","0,941"
"Navarra, Comunidad Foral de","0,514","0,511","0,506","0,515","0,514","0,512"
País Vasco,"0,032","0,059","0,091","0,231","0,230","0,227"
"Rioja, La","0,191","0,191","0,222","0,282","0,282","0,313"
