"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,221,233,454,13,18,31
Aragón,,,,,,
"Asturias, Principado de",5,7,12,2,3,5
"Balears, Illes",10,10,20,0,1,1
Canarias,22,28,50,2,0,2
Cantabria*,1,,1,,,
Castilla-La Mancha*,1,,1,,,
Castilla y León,43,43,86,5,3,8
Catalunya,50,85,135,3,0,3
Ceuta*,,,,,,
Comunitat Valenciana,83,104,187,7,13,20
Extremadura,7,12,19,2,0,2
Galicia,26,22,48,4,0,4
"Madrid, Comunidad de",145,185,330,14,12,26
Melilla,,,,,,
"Murcia, Región de",27,22,49,2,0,2
"Navarra, Comunidad Foral de",17,7,24,0,0,0
País Vasco,18,28,46,0,0,0
"Rioja, La",1,6,7,0,2,2
TOTAL,677,792,1.469,54,52,106
