"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,882,1.085,1.967,117,75,192
Aragón,0,1,1,0,0,0
"Asturias, Principado de",,,,,,
"Balears, Illes",56,70,126,10,6,16
Canarias,21,27,48,13,8,21
Cantabria*,,1,1,,,
Castilla-La Mancha*,,1,1,,,
Castilla y León,312,359,671,62,53,115
Catalunya,105,111,216,4,2,6
Ceuta*,,,,,,
Comunitat Valenciana,103,96,199,34,37,71
Extremadura,26,44,70,15,16,31
Galicia,,,,,,
"Madrid, Comunidad de",463,567,1.030,80,85,165
Melilla,,,,,,
"Murcia, Región de",157,191,348,22,19,41
"Navarra, Comunidad Foral de",31,23,54,5,4,9
País Vasco,163,181,344,7,5,12
"Rioja, La",7,2,9,1,1,2
TOTAL,2.326,2.759,5.085,370,311,681
