"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,149,186,335,0,2,2
Aragón,21,22,43,0,1,1
"Asturias, Principado de",14,9,23,2,0,2
"Balears, Illes",27,21,48,0,0,0
Canarias,19,20,39,1,0,1
Cantabria*,1,,1,,,
Castilla-La Mancha*,2,2,4,,,
Castilla y León,34,44,78,0,0,0
Catalunya,145,167,312,1,0,1
Ceuta*,,,,,,
Comunitat Valenciana,54,46,100,1,0,1
Extremadura,11,19,30,3,1,4
Galicia,63,94,157,2,1,3
"Madrid, Comunidad de",146,163,309,4,2,6
Melilla,,,,,,
"Murcia, Región de",27,39,66,0,0,0
"Navarra, Comunidad Foral de",11,7,18,0,0,0
País Vasco,14,15,29,0,0,0
"Rioja, La",1,0,1,0,0,0
TOTAL,739,854,1.593,14,7,21
