"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,53,75,128,0,0,0
Aragón,,,,,,
"Asturias, Principado de",,,,,,
"Balears, Illes",54,102,156,1,2,3
Canarias,32,45,77,2,1,3
Cantabria*,,1,1,,,
Castilla-La Mancha*,,,,,,
Castilla y León,104,149,253,4,12,16
Catalunya,158,217,375,3,1,4
Ceuta*,,,,,,
Comunitat Valenciana,272,316,588,3,6,9
Extremadura,14,17,31,0,0,0
Galicia,41,95,136,3,7,10
"Madrid, Comunidad de",117,137,254,4,11,15
Melilla,,,,,,
"Murcia, Región de",60,106,166,1,3,4
"Navarra, Comunidad Foral de",9,5,14,0,0,0
País Vasco,42,47,89,0,0,0
"Rioja, La",7,1,8,0,0,0
TOTAL,963,1.313,2.276,21,43,64
