"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,51,51,102,3,1,4
Aragón,3,4,7,0,0,0
"Asturias, Principado de",3,2,5,0,0,0
"Balears, Illes",3,3,6,0,0,0
Canarias,9,6,15,0,0,0
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,5,5,10,0,0,0
Catalunya,38,36,74,0,1,1
Ceuta*,,,,,,
Comunitat Valenciana,17,11,28,1,0,1
Extremadura,4,2,6,0,0,0
Galicia,8,9,17,1,1,2
"Madrid, Comunidad de",35,45,80,3,3,6
Melilla,,,,,,
"Murcia, Región de",6,10,16,1,0,1
"Navarra, Comunidad Foral de",7,7,14,0,1,1
País Vasco,5,4,9,0,0,0
"Rioja, La",0,0,0,0,1,1
TOTAL,194,195,389,9,8,17
