"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS2,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTA
Andalucía,430,440,870,61,60,121
Aragón,69,65,134,2,6,8
"Asturias, Principado de",15,21,36,0,7,7
"Balears, Illes",39,49,88,1,4,5
Canarias,66,62,128,8,9,17
Cantabria*,12,9,21,,,
Castilla-La Mancha*,5,6,11,1,2,3
Castilla y León,118,107,225,6,11,17
Catalunya,236,231,467,26,13,39
Ceuta*,,,,,,
Comunitat Valenciana,279,274,553,24,28,52
Extremadura,22,29,51,4,9,13
Galicia,71,108,179,6,12,18
"Madrid, Comunidad de",286,293,579,26,32,58
Melilla,1,1,2,0,0,0
"Murcia, Región de",78,66,144,9,7,16
"Navarra, Comunidad Foral de",18,16,34,1,1,2
País Vasco,29,21,50,0,1,1
"Rioja, La",8,2,10,1,2,3
TOTAL,1.782,1.800,3.582,176,204,380
