"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,321,260,581,28,27,55
Aragón,20,9,29,5,4,9
"Asturias, Principado de",9,12,21,3,0,3
"Balears, Illes",11,14,25,0,0,0
Canarias,24,30,54,8,3,11
Cantabria*,,,,,,
Castilla-La Mancha*,1,,1,,,
Castilla y León,61,59,120,6,1,7
Catalunya,58,63,121,3,4,7
Ceuta*,1,,1,,,
Comunitat Valenciana,97,102,199,21,11,32
Extremadura,16,8,24,1,1,2
Galicia,49,29,78,4,1,5
"Madrid, Comunidad de",244,233,477,22,16,38
Melilla,,,,,,
"Murcia, Región de",34,24,58,6,3,9
"Navarra, Comunidad Foral de",16,17,33,2,0,2
País Vasco,24,20,44,1,1,2
"Rioja, La",1,1,2,0,0,0
TOTAL,987,881,1.868,110,72,182
