"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,449","0,451","0,453","0,451","0,450","0,457"
Aragón,,,,,,"0,173"
"Asturias, Principado de","0,010","0,010","0,010","0,010","0,010","0,010"
"Balears, Illes","0,080","0,175","0,250","0,280","0,346","0,345"
Canarias,"0,038","0,047","0,051","0,046","0,050","0,050"
Castilla y León,"0,214","0,244","0,254","0,258","0,273","0,299"
Catalunya,"0,162","0,170","0,168","0,171","0,173","0,178"
Comunitat Valenciana,"0,059","0,071","0,078","0,081","0,091","0,094"
Extremadura,"0,083","0,084","0,084","0,085","0,075","0,076"
Galicia,"0,044","0,048","0,048","0,052","0,048","0,048"
"Madrid, Comunidad de","0,220","0,230","0,236","0,251","0,250","0,252"
Melilla,,,,,,
"Murcia, Región de","0,827","0,859","0,878","0,908","0,922","0,961"
"Navarra, Comunidad Foral de","0,343","0,371","0,368","0,364","0,363","0,361"
País Vasco,"0,188","0,229","0,269","0,298","0,303","0,299"
"Rioja, La","0,064","0,095","0,095","0,094","0,094","0,094"
