"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,166","0,167","0,168","0,167","0,166","0,163"
Aragón,"0,000","0,000","0,000","0,000","0,000","0,000"
"Asturias, Principado de",,,,,,
"Balears, Illes",,,"0,009","0,008","0,042","0,042"
Canarias,"0,024","0,033","0,042","0,046","0,055","0,059"
Castilla y León,"0,025","0,025","0,033","0,042","0,050","0,055"
Catalunya,"0,079","0,085","0,098","0,105","0,112","0,116"
Comunitat Valenciana,"0,024","0,028","0,030","0,036","0,037","0,045"
Extremadura,"0,102","0,103","0,103","0,103","0,104","0,114"
Galicia,"0,052","0,052","0,052","0,052","0,052","0,056"
"Madrid, Comunidad de","0,040","0,049","0,189","0,196","0,204","0,211"
Melilla,,,,,,
"Murcia, Región de","0,203","0,210","0,208","0,219","0,237","0,235"
"Navarra, Comunidad Foral de","0,156","0,170","0,169","0,167","0,181","0,181"
País Vasco,"0,028","0,037","0,036","0,041","0,045","0,045"
"Rioja, La","0,000","0,000","0,000","0,000","0,000","0,000"
