"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,162","0,162","0,168","0,175","0,179","0,183"
Aragón,"0,038","0,038","0,038","0,045","0,045","0,098"
"Asturias, Principado de","0,048","0,049","0,069","0,059","0,049","0,050"
"Balears, Illes","0,062","0,079","0,086","0,110","0,127","0,135"
Canarias,"0,099","0,099","0,107","0,129","0,133","0,146"
Castilla y León,"0,131","0,137","0,137","0,150","0,155","0,147"
Catalunya,"0,138","0,141","0,150","0,158","0,160","0,165"
Comunitat Valenciana,"0,105","0,113","0,132","0,135","0,132","0,139"
Extremadura,"0,065","0,065","0,075","0,075","0,075","0,076"
Galicia,"0,063","0,074","0,081","0,093","0,093","0,093"
"Madrid, Comunidad de","0,070","0,066","0,101","0,110","0,111","0,128"
Melilla,,,,,,
"Murcia, Región de","0,163","0,183","0,188","0,212","0,217","0,229"
"Navarra, Comunidad Foral de","0,140","0,155","0,153","0,152","0,151","0,150"
País Vasco,"0,005","0,014","0,023","0,036","0,041","0,050"
"Rioja, La","0,064","0,064","0,063","0,094","0,063","0,063"
