"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,027","0,026","0,025","0,025","0,022","0,023"
Aragón,"0,000","0,000","0,000","0,000","0,000","0,000"
"Asturias, Principado de",,,,,,
"Balears, Illes","0,000","0,000","0,000","0,000","0,000","0,000"
Canarias,"0,009","0,005","0,009","0,009","0,005","0,005"
Castilla y León,"0,008","0,012","0,017","0,017","0,017","0,021"
Catalunya,"0,017","0,019","0,020","0,021","0,019","0,021"
Comunitat Valenciana,"0,012","0,010","0,012","0,010","0,010","0,010"
Extremadura,"0,009","0,009","0,009",,,
Galicia,"0,033","0,030","0,033","0,033","0,026","0,026"
"Madrid, Comunidad de","0,008","0,008","0,021","0,018","0,016","0,019"
Melilla,,,,,,
"Murcia, Región de","0,034","0,027","0,027","0,040","0,053","0,052"
"Navarra, Comunidad Foral de","0,016","0,015","0,015","0,015","0,015","0,030"
País Vasco,"0,005","0,005","0,005","0,009","0,014","0,023"
"Rioja, La","0,127","0,127","0,127","0,126","0,125","0,125"
