"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS1,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,188,245,433,133,143,276
Aragón,4,9,13,15,11,26
"Asturias, Principado de",16,18,34,14,22,36
"Balears, Illes",30,29,59,19,24,43
Canarias,14,19,33,19,21,40
Cantabria*,,,,,,
Castilla-La Mancha*,,,,1,,1
Castilla y León,68,92,160,67,64,131
Catalunya,127,156,283,13,9,22
Ceuta*,,,,,,
Comunitat Valenciana,93,134,227,115,114,229
Extremadura,25,14,39,39,28,67
Galicia,65,72,137,54,63,117
"Madrid, Comunidad de",120,175,295,98,104,202
Melilla,0,1,1,0,0,0
"Murcia, Región de",19,31,50,16,25,41
"Navarra, Comunidad Foral de",10,10,20,8,11,19
País Vasco,22,23,45,11,6,17
"Rioja, La",6,1,7,3,3,6
TOTAL,807,1.029,1.836,625,648,1.273
