"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,41,42,83,6,4,10
Aragón,15,14,29,2,7,9
"Asturias, Principado de",0,5,5,0,0,0
"Balears, Illes",2,3,5,1,0,1
Canarias,0,5,5,1,1,2
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,6,8,14,1,1,2
Catalunya,26,20,46,0,4,4
Ceuta*,,,,,,
Comunitat Valenciana,12,11,23,3,1,4
Extremadura,4,2,6,2,0,2
Galicia,11,8,19,1,0,1
"Madrid, Comunidad de",23,12,35,3,2,5
Melilla,,,,,,
"Murcia, Región de",7,7,14,1,1,2
"Navarra, Comunidad Foral de",0,0,0,0,0,0
País Vasco,4,5,9,0,0,0
"Rioja, La",0,0,0,0,0,0
TOTAL,151,142,293,21,21,42
