"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,102","0,104","0,102","0,102","0,099","0,098"
Aragón,"0,084","0,099","0,098","0,098","0,203","0,218"
"Asturias, Principado de","0,048","0,049","0,049","0,049","0,049","0,050"
"Balears, Illes","0,027","0,035","0,035","0,034","0,034","0,042"
Canarias,"0,014","0,019","0,019","0,018","0,028","0,023"
Castilla y León,"0,049","0,058","0,062","0,063","0,059","0,059"
Catalunya,"0,052","0,056","0,056","0,058","0,059","0,059"
Comunitat Valenciana,"0,044","0,046","0,042","0,044","0,043","0,045"
Extremadura,"0,056","0,056","0,056","0,056","0,057","0,057"
Galicia,"0,063","0,067","0,067","0,070","0,070","0,071"
"Madrid, Comunidad de","0,036","0,040","0,050","0,049","0,049","0,052"
Melilla,,,,,,
"Murcia, Región de","0,095","0,101","0,107","0,106","0,105","0,092"
"Navarra, Comunidad Foral de","0,000","0,000","0,000","0,000","0,000","0,000"
País Vasco,"0,023","0,032","0,032","0,032","0,041","0,041"
"Rioja, La","0,000","0,000","0,000","0,000","0,000","0,000"
