"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,63,82,145,35,33,68
Aragón,0,1,1,4,0,4
"Asturias, Principado de",4,2,6,1,2,3
"Balears, Illes",1,2,3,1,2,3
Canarias,2,6,8,3,5,8
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,10,5,15,5,3,8
Catalunya,26,26,52,13,8,21
Ceuta*,,,,,,
Comunitat Valenciana,14,15,29,17,9,26
Extremadura,8,7,15,13,2,15
Galicia,4,4,8,2,2,4
"Madrid, Comunidad de",49,80,129,60,51,111
Melilla,,,,,,
"Murcia, Región de",9,6,15,3,2,5
"Navarra, Comunidad Foral de",1,1,2,0,0,0
País Vasco,0,0,0,0,0,0
"Rioja, La",6,4,10,3,4,7
TOTAL,197,241,438,160,123,283
