"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS2,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,176,172,348,8,10,18
Aragón,9,4,13,0,0,0
"Asturias, Principado de",3,4,7,1,1,2
"Balears, Illes",9,9,18,1,0,1
Canarias,8,18,26,2,0,2
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,12,15,27,4,3,7
Catalunya,59,78,137,2,3,5
Ceuta*,1,,1,,,
Comunitat Valenciana,32,11,43,3,2,5
Extremadura,6,3,9,2,0,2
Galicia,11,7,18,0,1,1
"Madrid, Comunidad de",71,69,140,7,9,16
Melilla,,,,,,
"Murcia, Región de",10,13,23,2,1,3
"Navarra, Comunidad Foral de",8,7,15,2,1,3
País Vasco,9,6,15,0,0,0
"Rioja, La",3,3,6,0,0,0
TOTAL,427,419,846,34,31,65
