"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,224","0,220","0,218","0,215","0,215","0,209"
Aragón,,"0,008","0,015","0,023","0,030","0,030"
"Asturias, Principado de",,,,,,
"Balears, Illes","0,487","0,526","0,544","0,569","0,583","0,615"
Canarias,"0,161","0,174","0,214","0,244","0,271","0,316"
Castilla y León,"0,468","0,505","0,536","0,579","0,620","0,636"
Catalunya,"0,064","0,066","0,071","0,075","0,079","0,080"
Comunitat Valenciana,"0,447","0,492","0,501","0,507","0,507","0,511"
Extremadura,"0,176","0,177","0,187","0,188","0,188","0,189"
Galicia,"0,362","0,381","0,407","0,426","0,430","0,438"
"Madrid, Comunidad de","0,907","0,934","0,950","0,973","0,984","0,988"
Melilla,,,,,,
"Murcia, Región de","0,793","0,825","0,845","0,855","0,850","0,896"
"Navarra, Comunidad Foral de","0,810","0,789","0,781","0,803","0,801","0,798"
País Vasco,"0,078","0,114","0,155","0,163","0,172","0,172"
"Rioja, La","0,127","0,127","0,127","0,220","0,219","0,188"
