"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,70,133,203,45,32,77
Aragón,5,0,5,2,0,2
"Asturias, Principado de",1,0,1,1,0,1
"Balears, Illes",4,4,8,3,3,6
Canarias,5,6,11,4,1,5
Cantabria*,,,,,,
Castilla-La Mancha*,,1,1,,,
Castilla y León,21,24,45,11,14,25
Catalunya,45,50,95,5,9,14
Ceuta*,,,,,,
Comunitat Valenciana,30,23,53,15,16,31
Extremadura,6,12,18,7,4,11
Galicia,12,12,24,8,4,12
"Madrid, Comunidad de",78,65,143,14,26,40
Melilla,,,,,,
"Murcia, Región de",14,10,24,5,6,11
"Navarra, Comunidad Foral de",9,7,16,3,2,5
País Vasco,3,17,20,2,0,2
"Rioja, La",2,1,3,2,1,3
TOTAL,305,365,670,127,118,245
