"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,,,,,,
Aragón,,,,,,
"Asturias, Principado de",,,,,,
"Balears, Illes",,,,,,
Canarias,,,,,,
Castilla y León,"0,004","0,017","0,017","0,029","0,029","0,029"
Catalunya,,,,,,
Comunitat Valenciana,"0,002","0,002","0,004","0,006","0,008","0,012"
Extremadura,"0,009","0,009","0,009","0,009","0,009","0,009"
Galicia,,,,,,"0,004"
"Madrid, Comunidad de","0,033","0,034","0,050","0,052","0,054","0,058"
Melilla,,,,,,
"Murcia, Región de","0,075","0,074","0,080","0,106","0,112","0,118"
"Navarra, Comunidad Foral de",,,,,,
País Vasco,"0,000","0,000","0,000","0,000","0,000","0,000"
"Rioja, La","0,000","0,000","0,000","0,000","0,000","0,000"
