"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,158,109,267,15,14,29
Aragón,7,9,16,1,0,1
"Asturias, Principado de",2,4,6,1,0,1
"Balears, Illes",15,8,23,1,0,1
Canarias,10,21,31,4,1,5
Cantabria*,,,,,,
Castilla-La Mancha*,1,1,2,,,
Castilla y León,21,15,36,5,5,10
Catalunya,72,65,137,6,5,11
Ceuta*,,,,,,
Comunitat Valenciana,66,44,110,3,4,7
Extremadura,7,3,10,1,1,2
Galicia,22,27,49,5,1,6
"Madrid, Comunidad de",142,109,251,5,6,11
Melilla,,,,,,
"Murcia, Región de",35,29,64,3,2,5
"Navarra, Comunidad Foral de",9,19,28,2,0,2
País Vasco,21,13,34,0,0,0
"Rioja, La",1,2,3,0,0,0
TOTAL,589,478,1.067,52,39,91
