"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,786","0,838","0,867","0,894","0,922","0,962"
Aragón,"0,030","0,030","0,030","0,105","0,105","0,105"
"Asturias, Principado de","0,445","0,477","0,489","0,501","0,504","0,517"
"Balears, Illes","0,204","0,254","0,268","0,280","0,346","0,396"
Canarias,"0,170","0,206","0,232","0,234","0,243","0,261"
Castilla y León,"0,185","0,211","0,229","0,238","0,260","0,278"
Catalunya,"0,172","0,178","0,194","0,196","0,200","0,202"
Comunitat Valenciana,"0,467","0,492","0,525","0,549","0,552","0,566"
Extremadura,"0,398","0,457","0,506","0,507","0,490","0,502"
Galicia,"0,247","0,252","0,263","0,266","0,267","0,264"
"Madrid, Comunidad de","0,605","0,631","0,703","0,720","0,748","0,768"
Melilla,,,,,,
"Murcia, Región de","0,407","0,399","0,402","0,417","0,441","0,445"
"Navarra, Comunidad Foral de","0,561","0,588","0,582","0,576","0,574","0,572"
País Vasco,,,"0,005","0,009","0,009","0,009"
"Rioja, La","0,064","0,095","0,095","0,157","0,125","0,125"
