"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"1,563","1,415","1,259","1,098","0,944","0,747"
Aragón,"0,494","0,358","0,318","0,301","0,285","0,279"
"Asturias, Principado de","1,306","1,285","1,136","1,012","0,968","0,876"
"Balears, Illes","0,408","0,298","0,415","0,467","0,608","0,666"
Canarias,"0,312","0,310","0,302","0,289","0,257","0,192"
Castilla y León,"0,789","0,819","0,786","0,784","0,809","0,796"
Catalunya,"0,426","0,493","0,540","0,601","0,618","0,564"
Comunitat Valenciana,"0,560","0,573","0,533","0,533","0,422","0,366"
Extremadura,"0,417","0,429","0,459","0,526","0,490","0,492"
Galicia,"0,351","0,396","0,348","0,355","0,385","0,431"
"Madrid, Comunidad de","0,666","0,646","0,716","0,774","0,676","0,654"
Melilla,"0,116","0,116","0,116","0,116","0,116","0,118"
"Murcia, Región de","0,508","0,527","0,536","0,470","0,422","0,536"
"Navarra, Comunidad Foral de","0,530","0,526","0,705","0,667","0,740","0,602"
País Vasco,"0,069","0,279","0,305","0,579","0,176","0,236"
"Rioja, La","0,382","0,445","0,570","0,596","0,657","0,657"
