"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,201,2020,2021,2022
Andalucía,"0,534","0,534","0,534","0,534","0,537","0,533"
Aragón,,,,,,
"Asturias, Principado de","0,116","0,127","0,117","0,118","0,119","0,119"
"Balears, Illes","0,053","0,105","0,147","0,153","0,177","0,168"
Canarias,"0,151","0,164","0,181","0,198","0,211","0,229"
Castilla y León,"0,271","0,277","0,299","0,317","0,344","0,362"
Catalunya,"0,100","0,119","0,135","0,150","0,165","0,174"
Comunitat Valenciana,"0,314","0,337","0,353","0,365","0,371","0,366"
Extremadura,"0,148","0,149","0,150","0,150","0,170","0,180"
Galicia,"0,162","0,170","0,170","0,174","0,178","0,178"
"Madrid, Comunidad de","0,412","0,418","0,465","0,478","0,486","0,489"
Melilla,,,,,,
"Murcia, Región de","0,271","0,271","0,282","0,285","0,303","0,320"
"Navarra, Comunidad Foral de","0,358","0,356","0,368","0,364","0,363","0,361"
País Vasco,"0,083","0,110","0,150","0,176","0,194","0,209"
"Rioja, La","0,064","0,127","0,222","0,220","0,219","0,219"
