"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,75,64,139,3,3,6
Aragón,0,0,0,0,0,0
"Asturias, Principado de",,,,,,
"Balears, Illes",1,4,5,0,0,0
Canarias,7,6,13,0,0,0
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,4,9,13,0,0,0
Catalunya,45,45,90,0,1,1
Ceuta*,,,,,,
Comunitat Valenciana,12,11,23,1,1,2
Extremadura,8,4,12,0,1,1
Galicia,6,9,15,0,0,0
"Madrid, Comunidad de",83,59,142,1,1,2
Melilla,,,,,,
"Murcia, Región de",15,21,36,0,0,0
"Navarra, Comunidad Foral de",6,6,12,0,0,0
País Vasco,4,6,10,1,0,1
"Rioja, La",0,0,0,0,0,0
TOTAL,266,244,510,6,7,13
