"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,,,,,,
Aragón,,,,,,
"Asturias, Principado de",,,,,,
"Balears, Illes",,,,,,
Canarias,,,,,,
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,4,3,7,0,0,0
Catalunya,,,,,,
Ceuta*,,,,,,
Comunitat Valenciana,3,3,6,0,0,0
Extremadura,1,0,1,0,0,0
Galicia,1,0,1,0,0,0
"Madrid, Comunidad de",24,15,39,0,0,0
Melilla,,,,,,
"Murcia, Región de",15,3,18,0,0,0
"Navarra, Comunidad Foral de",,,,,,
País Vasco,0,0,0,0,0,0
"Rioja, La",0,0,0,0,0,0
TOTAL,48,24,72,0,0,0
