"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,147","0,150","0,151","0,151","0,146","0,145"
Aragón,,,,,,"0,015"
"Asturias, Principado de",,,,,,
"Balears, Illes","0,000","0,000","0,000","0,000","0,000","0,000"
Canarias,"0,009","0,009","0,014","0,014","0,018","0,023"
Castilla y León,"0,004","0,004","0,008","0,013","0,013","0,017"
Catalunya,"0,024","0,029","0,033","0,038","0,041","0,044"
Comunitat Valenciana,"0,028","0,028","0,028","0,030","0,032","0,035"
Extremadura,"0,074","0,065","0,066","0,066","0,066","0,066"
Galicia,"0,015","0,018","0,019","0,019","0,019","0,019"
"Madrid, Comunidad de","0,085","0,093","0,098","0,106","0,113","0,122"
Melilla,,,,,,
"Murcia, Región de","0,095","0,128","0,148","0,152","0,151","0,170"
"Navarra, Comunidad Foral de","0,109","0,108","0,107","0,106","0,106","0,105"
País Vasco,"0,005","0,018","0,027","0,041","0,045","0,045"
"Rioja, La","0,573","0,572","0,570","0,565","0,563","0,594"
