"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"0,112","0,117","0,120","0,118","0,119","0,120"
Aragón,"0,046","0,046","0,045","0,053","0,053","0,053"
"Asturias, Principado de","0,029","0,039","0,039","0,049","0,049","0,050"
"Balears, Illes","0,035","0,035","0,035","0,042","0,051","0,051"
Canarias,"0,033","0,042","0,042","0,041","0,050","0,069"
Castilla y León,"0,016","0,021","0,033","0,042","0,042","0,042"
Catalunya,"0,079","0,089","0,090","0,093","0,093","0,095"
Comunitat Valenciana,"0,038","0,042","0,052","0,054","0,055","0,055"
Extremadura,"0,046","0,047","0,047","0,056","0,057","0,057"
Galicia,"0,055","0,059","0,059","0,056","0,059","0,063"
"Madrid, Comunidad de","0,094","0,100","0,118","0,124","0,117","0,119"
Melilla,,,,,,
"Murcia, Región de","0,081","0,095","0,094","0,106","0,105","0,105"
"Navarra, Comunidad Foral de","0,218","0,217","0,214","0,212","0,211","0,211"
País Vasco,"0,018","0,018","0,036","0,036","0,036","0,041"
"Rioja, La",,,,,,
