"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,292,97,389,8,2,10
Aragón,20,3,23,0,0,0
"Asturias, Principado de",1,0,1,1,1,2
"Balears, Illes",29,12,41,0,0,0
Canarias,9,2,11,1,1,2
Cantabria*,1,,1,,,
Castilla-La Mancha*,,,,,,
Castilla y León,51,20,71,2,1,3
Catalunya,107,31,138,0,0,0
Ceuta*,,,,,,
Comunitat Valenciana,39,9,48,4,1,5
Extremadura,4,4,8,1,1,2
Galicia,11,2,13,1,0,1
"Madrid, Comunidad de",137,33,170,6,2,8
Melilla,,,,,,
"Murcia, Región de",113,34,147,5,0,5
"Navarra, Comunidad Foral de",18,6,24,0,0,0
País Vasco,50,16,66,2,0,2
"Rioja, La",2,1,3,0,0,0
TOTAL,884,270,1.154,31,9,40
