"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,,
,2017,2018,2019,2020,2021,2022
Andalucía,"1,430","1,417","1,383","1,347","1,294","1,248"
Aragón,"0,175","0,175","0,182","0,210","0,225","0,316"
"Asturias, Principado de","0,348","0,341","0,343","0,314","0,296","0,289"
"Balears, Illes","0,443","0,508","0,484","0,484","0,482","0,489"
Canarias,"0,539","0,544","0,553","0,561","0,574","0,567"
Castilla y León,"0,838","0,894","0,939","0,955","0,989","0,977"
Catalunya,"0,606","0,629","0,647","0,645","0,636","0,647"
Comunitat Valenciana,"0,659","0,672","0,708","0,701","0,677","0,628"
Extremadura,"0,769","0,764","0,787","0,817","0,801","0,757"
Galicia,"0,155","0,159","0,189","0,207","0,208","0,204"
"Madrid, Comunidad de","1,056","1,331","1,351","1,327","1,302","1,308"
Melilla,,,,,,
"Murcia, Región de","0,915","0,913","0,905","0,914","0,929","0,896"
"Navarra, Comunidad Foral de","3,660","3,497","3,370","3,213","3,081","3,040"
País Vasco,"0,161","0,229","0,428","1,189","1,166","1,455"
"Rioja, La","1,273","1,461","1,582","1,569","1,565","1,596"
