"Comunidad Autónoma de
residencia",VIVOS1,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,847,249,1.096,95,43,138
Aragón,80,4,84,7,2,9
"Asturias, Principado de",26,2,28,6,0,6
"Balears, Illes",40,3,43,2,0,2
Canarias,91,2,93,10,0,10
Cantabria*,,1,1,,,
Castilla-La Mancha*,12,,12,,,
Castilla y León,231,23,254,26,4,30
Catalunya,514,84,598,8,3,11
Ceuta*,,,,,,
Comunitat Valenciana,244,10,254,36,0,36
Extremadura,62,8,70,12,1,13
Galicia,188,1,189,14,0,14
"Madrid, Comunidad de",668,27,695,49,3,52
Melilla,0,0,1(+),0,0,0
"Murcia, Región de",79,1,80,5,0,5
"Navarra, Comunidad Foral de",64,0,64,1,0,1
País Vasco,98,1,99,7,0,7
"Rioja, La",9,1,10,1,0,1
TOTA,3.253,417,3.671(+),279,56,335
