,Comunidad Autónoma de residencia,,,,,,,,,,,
Enfermedad,aículadnA,nógarA,sairanaC,"y nóeL
allitsaC",añulataC,dadinumoC anaicnelaV,aicilaG,",dirdaM dadinumoC ed",",aicruM ed
nóigeR",",arravaN dadinumoC ed
laroF","ocsaV
síaP","aL
,ajoiR"
Ataxia de Friedreich,"0,159",,"0,054","0,208","0,130","0,066","0,070","0,202","0,148","0,292","0,055","0,032"
Atrofia muscular espinal proximal,"0,109","0,008",,"0,104","0,086","0,098","0,026","0,093","0,175","0,154","0,014","0,000"
Complejo Esclerosis Tuberosa,"0,490","0,273","0,245","0,440","0,170","0,251","0,281","0,509","0,376","0,677","0,271","0,128"
Displasia Renal,"0,408",,"0,213","0,195","0,100","0,432","0,211","0,655","0,410","0,585",,"0,096"
Distrofia miotónica de Steinert,"0,706",,,"0,748","0,435","0,543","0,011","1,379","0,887","3,339","0,367","1,403"
Enfermedad de Fabry,"0,044",,"0,014","0,029","0,074","0,088","0,052","0,075","0,081","0,092","0,073",
Enfermedad de Gaucher,"0,049",,"0,018","0,058","0,038","0,036","0,015","0,048","0,094","0,000","0,032",
Enfermedad de Huntington,"0,458","0,144","0,172","0,627","0,320","0,243","0,452","0,492","0,356","0,369","0,101","0,287"
Enfermedad de Niemann Pick,"0,021",,,"0,012","0,017","0,010","0,015","0,018","0,013","0,015","0,005","0,128"
Enfermedad de Rendu Osler,"0,167",,,"0,469","0,361","0,185","0,259","0,370","0,329","0,385","0,482","0,319"
Enfermedad de Wilson,"0,202","0,129","0,104","0,125","0,111","0,149","0,130","0,309","0,430","0,415","0,092","0,096"
