C.A. de residencia,VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,219,125,344,1,1,2
Aragón,,,,,,
Canarias,29,18,47,0,0,0
Castilla y León,29,18,47,1,0,1
Cataluña,56,20,76,1,1,2
Comunidad Valenciana,142,73,215,7,5,12
Galicia,43,14,57,3,2,5
"Madrid, Comunidad de",249,186,435,3,5,8
"Murcia, Región de",37,24,61,0,0,0
"Navarra, Comunidad Foral de",21,17,38,0,1,1
País Vasco,,,,,,
"Rioja, La",2,1,3,1,0,1
(+) Castilla-La Mancha,1,1,2,0,0,0
Total,828,497,1.325,17,15,32
