C.A. de residencia,VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,302,293,595,45,34,79
Aragón,,,,,,
Canarias,,,,,,
Castilla y León,75,105,180,49,36,85
Cataluña,154,175,329,23,17,40
Comunidad Valenciana,141,129,270,67,50,117
Galicia,2,1,3,0,0,0
"Madrid, Comunidad de",439,477,916,122,74,196
"Murcia, Región de",67,65,132,21,16,37
"Navarra, Comunidad Foral de",103,114,217,30,24,54
País Vasco,37,43,80,3,2,5
"Rioja, La",25,19,44,16,10,26
(+) Castilla-La Mancha,1,0,1,0,0,0
Total,1.346,1.421,2.767,376,263,639
