C.A. de residencia,VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,672,171,843,18,7,25
Aragón,76,1,77,5,0,5
Canarias,94,2,96,7,0,7
Castilla y León,219,22,241,15,2,17
Cataluña,215,75,290,1,1,2
Comunidad Valenciana,192,4,196,21,0,21
Galicia,137,0,137,3,0,3
"Madrid, Comunidad de",593,9,602,24,1,25
"Murcia, Región de",73,6,79,3,0,3
"Navarra, Comunidad Foral de",60,0,60,1,0,1
País Vasco,68,1,69,1,0,1
"Rioja, La",8,1,9,1,0,1
(+) Castilla-La Mancha,1,0,1,0,0,0
(+) Extremadura,2,0,2,0,0,0
Total,2.410,292,2.702,100,11,111
