Enfermedad Rara,FALLECIDOS,,
,Hombre,Mujer,Total
Ataxia de Friedreich,40,46,86
Atrofia muscular espinal proximal,43,40,83
Complejo Esclerosis Tuberosa,35,43,78
Displasia Renal,17,15,32
Distrofia miotónica de Steinert,376,263,639
Enfermedad de Fabry,12,10,22
Enfermedad de Gaucher,5,5,10
Enfermedad de Huntington,298,309,607
Enfermedad de Niemann Pick,4,7,11
Enfermedad de Rendu Osler,69,67,136
Enfermedad de Wilson,21,16,37
Esclerosis lateral amiotrófica,2.014,1.758,3.772
Fenilcetonuria,3,1,4
Fibrosis quística,98,80,178
Hemofilia A,100,11,111
Osteogénesis imperfecta,19,17,36
Síndrome de Angelman,3,4,7
Síndrome de Beckwith Wiedemann,7,7,14
Síndrome de Goodpasture,68,52,120
Síndrome de Marfan,42,28,70
Síndrome de Prader Willi,16,11,27
Síndrome de X frágil,14,0,14
Total general,3.304,2.790,6.094
