C.A. de residencia,VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,432,341,773,278,231,509
Aragón,15,12,27,119,101,220
Canarias,30,21,51,122,99,221
Castilla y León,97,68,165,265,206,471
Cataluña,120,123,243,66,66,132
Comunidad Valenciana,112,79,191,427,400,827
Galicia,37,20,57,91,78,169
"Madrid, Comunidad de",276,209,485,399,372,771
"Murcia, Región de",48,28,76,82,85,167
"Navarra, Comunidad Foral de",24,19,43,71,55,126
País Vasco,12,10,22,36,21,57
"Rioja, La",7,6,13,45,39,84
"(+) Asturias, Principado de",3,1,4,0,0,0
(+) Castilla-La Mancha,16,9,25,12,4,16
(+) Extremadura,6,8,14,1,0,1
Total,1.235,954,2.189,2.014,1.757,3.771
