Enfermedad Rara,FALLECIDOS,,
,Hombres,Mujeres,Total
Ataxia de Friedreich,96,97,193
Atrofia Muscular Espinal Proximal,79,65,144
Complejo Esclerosis Tuberosa,63,72,135
Displasia Renal,44,27,71
Distrofia Miotónica de Steinert,641,492,1.133
Enfermedad de Fabry,33,22,55
Enfermedad de Gaucher,15,16,31
Enfermedad de Huntington,486,522,1.008
Enfermedad de Niemann Pick,12,14,26
Enfermedad de Rendu Osler,171,174,345
Enfermedad de Wilson,36,30,66
Esclerosis Lateral Amiotrófica,3.302,2.860,6.162
Fenilcetonuria,11,6,17
Fibrosis Quística,141,143,284
Hemofilia A,208,40,248
Osteogénesis Imperfecta,37,36,73
Retinosis pigmentaria y retinosis pigmentarias sindrómicas,270,226,496
Síndrome de Angelman,8,7,15
Síndrome de Beckwith Wiedemann,13,10,23
Síndrome de Goodpasture,128,102,230
Síndrome de Marfan,87,50,137
Síndrome de Prader Willi,24,27,51
Síndrome de Williams,5,3,8
Síndrome de X Frágil,23,9,32
Total general,5.933,5.050,10.983
