"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,831","0,863","0,909","0,930","0,948"
Aragón,"1,041","1,043","1,030","1,022","1,022"
"Asturias, Principado de","0,338","0,341","0,342","0,344","0,355"
"Balears, Illes","0,400","0,488","0,606","0,628","0,639"
Canarias,"0,506","0,542","0,553","0,541","0,552"
Castilla y León,"0,727","0,781","0,827","0,854","0,897"
Catalunya,"0,511","0,531","0,530","0,537","0,555"
Comunitat Valenciana,"0,942","0,968","0,971","0,980","0,997"
Extremadura,"0,278","0,318","0,366","0,386","0,388"
Galicia,"0,587","0,607","0,618","0,622","0,627"
"Madrid, Comunidad de","0,608","0,612","0,795","0,799","0,805"
Melilla,,"0,118","0,118","0,237","0,357"
"Murcia, Región de","0,869","0,908","0,934","0,950","0,958"
"Navarra, Comunidad Foral de","0,500","0,497","0,492","0,503","0,502"
País Vasco,"0,037","0,064","0,096","0,233","0,229"
"Rioja, La","0,160","0,160","0,191","0,253","0,253"
