"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,019","0,019","0,018","0,020","0,020"
Aragón,"0,000","0,000","0,000","0,000","0,000"
"Asturias, Principado de",,,,,
"Balears, Illes","0,000","0,000","0,000","0,000","0,000"
Canarias,"0,009","0,005","0,009","0,009","0,004"
Castilla y León,"0,012","0,012","0,017","0,017","0,017"
Catalunya,"0,015","0,016","0,017","0,018","0,017"
Comunitat Valenciana,"0,010","0,008","0,010","0,008","0,008"
Extremadura,"0,009","0,009","0,009",,
Galicia,"0,033","0,030","0,033","0,033","0,033"
"Madrid, Comunidad de","0,006","0,006","0,018","0,015","0,013"
Melilla,,,,,
"Murcia, Región de","0,034","0,027","0,027","0,040","0,053"
"Navarra, Comunidad Foral de","0,016","0,016","0,015","0,015","0,015"
País Vasco,"0,005","0,005","0,005","0,009","0,014"
"Rioja, La","0,128","0,128","0,128","0,127","0,127"
