"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,426,446,872,13,14,27
Aragón,3,12,15,4,2,6
"Asturias, Principado de",13,29,42,3,2,5
"Balears, Illes",17,16,33,3,3,6
Canarias,29,31,60,2,7,9
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,59,51,110,4,5,9
Catalunya,54,89,143,1,5,6
Ceuta*,,,,,,
Comunitat Valenciana,62,75,137,11,7,18
Extremadura,13,16,29,1,3,4
Galicia,30,52,82,2,8,10
"Madrid, Comunidad de",193,188,381,11,9,20
Melilla,,,,,,
"Murcia, Región de",32,31,63,4,4,8
"Navarra, Comunidad Foral de",25,20,45,2,2,4
País Vasco,42,37,79,1,1,2
"Rioja, La",4,2,6,1,0,1
TOTAL,1.002,1.095,2.097,63,72,135
